cliente_id,tempo_relacionamento_meses,frequencia_compra_mensal,ticket_medio,dias_desde_ultima_compra,num_categorias_compradas,desconto_medio_solicitado_pct,reclamacoes_ultimo_ano,canal_preferido,categoria_principal,total_gasto,churn
675,58,3.2,905.6,215,1,8.4,1,WhatsApp,Linha B,16272.13,1
1700,5,0.4,1272.12,101,2,2.8,0,Presencial,Linha B,204.76,0
1283,3,2.3,1126.89,160,1,12.9,0,App,Linha B,785.66,0
1316,68,1.5,1557.0,149,5,11.1,0,App,Linha E,16027.42,1
1211,75,1.0,585.91,48,2,4.5,0,Presencial,Linha D,4276.35,0
1637,92,10.0,1090.2,3,1,2.5,1,WhatsApp,Linha C,104682.94,0
614,18,2.4,902.87,56,2,2.6,0,WhatsApp,Linha D,3882.49,0
448,55,1.6,2406.22,46,2,2.8,0,WhatsApp,Linha B,12511.88,0
1132,29,0.9,516.55,22,5,5.8,0,WhatsApp,Linha B,844.43,0
809,85,5.2,114.74,164,4,6.3,1,WhatsApp,Linha B,3116.6,1
1497,86,1.9,1283.55,129,3,10.4,0,Presencial,Linha D,17236.07,0
1469,80,1.9,754.24,35,5,2.0,0,WhatsApp,Linha B,9066.77,1
1683,80,6.3,310.3,62,1,4.2,0,App,Linha C,16771.78,0
1150,11,1.8,2198.3,157,5,3.4,1,App,Linha A,2831.34,1
443,17,3.6,890.28,16,1,1.4,1,App,Linha C,5531.29,1
1814,34,3.7,1078.02,71,4,7.0,1,Presencial,Linha E,10006.24,1
655,45,3.4,1530.95,237,2,3.4,0,Presencial,Linha E,22904.91,1
1265,16,2.0,1187.44,17,1,2.1,0,WhatsApp,Linha A,3348.51,0
859,25,0.2,1638.91,234,1,1.3,0,App,Linha A,770.75,0
1483,12,1.7,1004.22,18,3,13.5,0,App,Linha B,1579.74,0
232,56,3.3,1283.68,112,5,2.5,1,Telefone,Linha A,24237.31,0
1822,15,1.7,1474.79,45,2,8.5,0,App,Linha B,3495.33,0
1927,76,0.9,790.76,52,5,6.8,0,App,Linha B,5290.46,0
882,46,4.8,854.84,231,2,1.6,0,App,Linha E,19787.4,0
632,38,1.0,1228.15,198,3,8.8,0,App,Linha B,3494.31,0
376,66,2.6,285.81,219,3,1.7,0,WhatsApp,Linha E,3320.64,1
1961,53,3.2,1294.76,146,3,15.2,0,App,Linha C,16260.65,0
368,58,0.8,967.73,128,3,7.5,0,WhatsApp,Linha A,3445.56,1
559,49,2.3,779.09,15,3,9.3,1,WhatsApp,Linha B,5877.39,0
276,1,2.8,993.78,113,2,3.8,0,Telefone,Linha A,289.35,1
1978,61,0.5,1503.36,155,1,2.6,0,App,Linha E,2976.28,1
